,BaseYear,Year,Month,State,Sector,Group,SubGroup,Index,Inflation (%)
66,2012,2025,February,Andaman and Nicobar Islands,Rural,"Pan, Tobacco and Intoxicants",Residual,203.3,-2.68
67,2012,2025,February,Andaman and Nicobar Islands,Rural,Clothing and Footwear,Residual,197.5,3.19
68,2012,2025,February,Andaman and Nicobar Islands,Rural,Fuel and Light,Residual,158,7.19
69,2012,2025,February,Andaman and Nicobar Islands,Rural,Miscellaneous,Residual,188.8,3.0
70,2012,2025,February,Andaman and Nicobar Islands,Urban,Food and Beverages,Residual,198.6,2.53
71,2012,2025,February,Andaman and Nicobar Islands,Urban,"Pan, Tobacco and Intoxicants",Residual,233.7,6.96
72,2012,2025,February,Andaman and Nicobar Islands,Urban,Clothing and Footwear,Residual,165.8,1.59
73,2012,2025,February,Andaman and Nicobar Islands,Urban,Fuel and Light,Residual,170,2.1
74,2012,2025,February,Andaman and Nicobar Islands,Urban,Miscellaneous,Residual,172.3,6.03
75,2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,Cereals and Products,197.8,1.12
76,2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,Meat and Fish,224.2,-5.72
77,2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,Egg,218.7,-6.94
78,2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,Fruits,199.1,10.67
79,2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,Vegetables,196.6,1.65
80,2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,Pulses and Products,203.3,-5.18
81,2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,Spices,220.4,-6.09
82,2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",201,3.34
83,2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,Non-alcoholic Beverages,204.6,2.76
84,2012,2025,February,Andhra Pradesh,Combined,Food and Beverages,Residual,199.5,1.01
85,2012,2025,February,Andhra Pradesh,Combined,"Pan, Tobacco and Intoxicants",Residual,212.1,7.01
86,2012,2025,February,Andhra Pradesh,Combined,Clothing and Footwear,Clothing,203.2,2.06
87,2012,2025,February,Andhra Pradesh,Combined,Clothing and Footwear,Footwear,175.1,-0.57
88,2012,2025,February,Andhra Pradesh,Combined,Clothing and Footwear,Residual,200.4,1.83
89,2012,2025,February,Andhra Pradesh,Combined,Fuel and Light,Residual,164.5,-1.61
90,2012,2025,February,Andhra Pradesh,Combined,Miscellaneous,Household Goods and Services,165.2,1.6
91,2012,2025,February,Andhra Pradesh,Combined,Miscellaneous,Health,191,4.14
92,2012,2025,February,Andhra Pradesh,Combined,Miscellaneous,Transport and Communication,185.2,0.11
93,2012,2025,February,Andhra Pradesh,Combined,Miscellaneous,Education,225.5,4.59
94,2012,2025,February,Andhra Pradesh,Combined,Miscellaneous,Residual,195.8,4.76
95,2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,Cereals and Products,197.3,0.92
96,2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,Meat and Fish,220,-6.58
97,2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,Egg,219.2,-6.28
98,2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,Fruits,189.7,9.59
99,2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,Vegetables,184.6,2.05
100,2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,Pulses and Products,198.4,-6.02
101,2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,Spices,218.4,-6.83
102,2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",195.1,2.85
103,2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,Non-alcoholic Beverages,211,2.18
104,2012,2025,February,Andhra Pradesh,Rural,Food and Beverages,Residual,195.8,0.51
105,2012,2025,February,Andhra Pradesh,Rural,"Pan, Tobacco and Intoxicants",Residual,214,8.3
106,2012,2025,February,Andhra Pradesh,Rural,Clothing and Footwear,Clothing,211.1,1.78
107,2012,2025,February,Andhra Pradesh,Rural,Clothing and Footwear,Footwear,175,-1.85
108,2012,2025,February,Andhra Pradesh,Rural,Clothing and Footwear,Residual,207.6,1.47
109,2012,2025,February,Andhra Pradesh,Rural,Fuel and Light,Residual,170.4,0.06
110,2012,2025,February,Andhra Pradesh,Rural,Miscellaneous,Household Goods and Services,167.5,1.15
111,2012,2025,February,Andhra Pradesh,Rural,Miscellaneous,Health,193.1,3.82
112,2012,2025,February,Andhra Pradesh,Rural,Miscellaneous,Transport and Communication,192.2,0.42
113,2012,2025,February,Andhra Pradesh,Rural,Miscellaneous,Education,215.5,3.06
114,2012,2025,February,Andhra Pradesh,Rural,Miscellaneous,Residual,196.5,4.58
115,2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,Cereals and Products,199,1.69
116,2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,Meat and Fish,235.7,-3.36
117,2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,Egg,217.2,-8.74
118,2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,Fruits,216.1,12.38
119,2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,Vegetables,228.8,0.79
120,2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,Pulses and Products,215.5,-3.28
121,2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,Spices,226,-3.99
122,2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,"Prepared Meals, Snacks, Sweets etc.",212.1,4.23
123,2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,Non-alcoholic Beverages,192,4.01
124,2012,2025,February,Andhra Pradesh,Urban,Food and Beverages,Residual,207.9,2.06
125,2012,2025,February,Andhra Pradesh,Urban,"Pan, Tobacco and Intoxicants",Residual,204.8,2.09
126,2012,2025,February,Andhra Pradesh,Urban,Clothing and Footwear,Clothing,186.9,2.69
